순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
66 ,아이 캔 스피크,김현석,"주식회사 영화사 시선,(주)명필름",,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",2017-09-21,개봉영화,장편,한국,"1,140 ",5763800,947 ,2578200,360 ,코미디,12세이상관람가,상업영화
67 ,맞짱,차룡,(주)차룡영화사,,(주)차룡영화사,2018-09-12,개봉영화,장편,한국,11 ,2141000,837 ,1351000,651 ,액션,청소년관람불가,상업영화
68 ,예스 평창!,백철기,명작엔터테인먼트(주),,시네마 뉴원,2018-03-08,개봉영화,장편,한국,11 ,6530800,774 ,5996300,683 ,다큐멘터리,전체관람가,상업영화
69 ,양아치 느와르,강효진,(주)키노크러시,,(주)영화사 그램,2018-09-13,개봉영화,장편,한국,6 ,3765000,446 ,3316200,378 ,드라마,청소년관람불가,상업영화
70 ,동창회의 목적 3,이도시,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-02-20,개봉영화,장편,한국,20 ,2290000,431 ,549000,110 ,멜로/로맨스,청소년관람불가,상업영화
71 ,택시운전사,장훈,더램프(주),,(주)쇼박스,2017-08-02,개봉영화,장편,한국,"1,906 ",2091500,357 ,968500,166 ,드라마,15세이상관람가,상업영화
72 ,풍뎅이뎅이,이재한,"(주)디씨지플러스,(주)엔에이치씨미디어",,(주)콘텐츠판다,2018-02-08,개봉영화,옴니버스,한국,4 ,2001000,308 ,592000,88 ,애니메이션,전체관람가,상업영화
73 ,꾼,장창원,(주)영화사두둥,,(주)쇼박스,2017-11-22,개봉영화,장편,한국,"1,314 ",1539000,306 ,300000,60 ,범죄,15세이상관람가,상업영화
74 ,여동생 친구,이전,(주)케이알씨지,,(주)케이알씨지,2018-05-23,개봉영화,장편,한국,10 ,1451000,297 ,1412000,283 ,멜로/로맨스,청소년관람불가,상업영화
75 ,내 여자의 정사: 감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-06-19,개봉영화,장편,한국,20 ,1183000,244 ,1141000,229 ,멜로/로맨스,청소년관람불가,상업영화
76 ,맛있는 섹스 누나 친구-감독판,이전,(주)케이알씨지,,(주)케이알씨지,2018-04-17,개봉영화,장편,한국,20 ,1188000,244 ,1151000,231 ,멜로/로맨스,청소년관람불가,상업영화
77 ,맛있는 스와핑,김종민,(주)케이알씨지,,(주)케이알씨지,2018-08-14,개봉영화,장편,한국,20 ,1183000,244 ,1141000,229 ,멜로/로맨스,청소년관람불가,상업영화
78 ,스와핑 민박집,박은수,(주)케이알씨지,,(주)케이알씨지,2018-09-27,개봉영화,장편,한국,20 ,1183000,244 ,1141000,229 ,멜로/로맨스,청소년관람불가,상업영화
79 ,아내의 외도: 감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-04-17,개봉영화,장편,한국,20 ,1188000,244 ,1151000,231 ,멜로/로맨스,청소년관람불가,상업영화
80 ,야한 짓: 감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-05-29,개봉영화,장편,한국,20 ,1187000,244 ,1142000,229 ,멜로/로맨스,청소년관람불가,상업영화
81 ,음란 조선 기방,이전,(주)케이알씨지,,(주)케이알씨지,2018-07-04,개봉영화,장편,한국,10 ,1183000,244 ,1141000,229 ,멜로/로맨스,청소년관람불가,상업영화
82 ,중독: 관음증-감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-05-29,개봉영화,장편,한국,20 ,1187000,244 ,1142000,229 ,멜로/로맨스,청소년관람불가,상업영화
83 ,향단이 나르샤 감독판,이동현,(주)케이알씨지,,(주)케이알씨지,2018-06-20,개봉영화,장편,한국,20 ,1183000,244 ,1141000,229 ,멜로/로맨스,청소년관람불가,상업영화
84 ,내 엄마의 친구,이진명,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-05-17,개봉영화,장편,한국,20 ,1292000,239 ,616000,114 ,멜로/로맨스,청소년관람불가,상업영화
85 ,착한 장모,이진명,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-07-09,개봉영화,장편,한국,20 ,1292000,239 ,616000,114 ,멜로/로맨스,청소년관람불가,상업영화
86 ,젊은엄마네하숙집,김종민,(주)로드하우스,,(주)로드하우스,2018-09-13,개봉영화,장편,한국,20 ,894000,204 ,662000,160 ,멜로/로맨스,청소년관람불가,상업영화
87 ,나쁜 엄마,현재훈,(주)투모션,,(주)투모션,2018-04-26,개봉영화,장편,한국,18 ,1107000,201 ,664000,125 ,멜로/로맨스,청소년관람불가,상업영화
88 ,여동생 커플 훔쳐보기,왕지방,(주)로이테미디어,,(주)로이테미디어,2018-04-19,개봉영화,장편,한국,20 ,1065000,188 ,660000,123 ,멜로/로맨스,청소년관람불가,상업영화
89 ,수상한 노래방,감수성,(주)투모션,,(주)투모션,2018-08-09,개봉영화,장편,한국,20 ,1026000,187 ,664000,125 ,멜로/로맨스,청소년관람불가,상업영화
90 ,섹스 인 더 게임 ,신성진,선셋 시네마,,선셋 시네마,2018-03-28,개봉영화,장편,한국,20 ,1021000,184 ,664000,125 ,,청소년관람불가,상업영화
91 ,어린 누나,김태수,너바나 필름,,(주)컨텐츠 빌리지,2018-03-07,개봉영화,장편,한국,20 ,1019000,183 ,664000,125 ,멜로/로맨스,청소년관람불가,상업영화
92 ,처녀 사냥,김태수,너바나 필름,,(주)컨텐츠 빌리지,2018-01-31,개봉영화,장편,한국,19 ,1019000,183 ,664000,125 ,멜로/로맨스,청소년관람불가,상업영화
93 ,엄마 애인,정진호,모히또필름,,(주)에이블엔터테인먼트,2018-01-29,개봉영화,장편,한국,20 ,1012000,182 ,664000,125 ,멜로/로맨스,청소년관람불가,상업영화
94 ,딸의 애인,계장혁,골드피쉬프로덕션,,(주)컨텐츠 빌리지,2018-05-04,개봉영화,장편,한국,20 ,995000,180 ,664000,125 ,멜로/로맨스,청소년관람불가,상업영화
95 ,어린 이모,계장혁,너바나 필름,,(주)컨텐츠 빌리지,2018-05-09,개봉영화,장편,한국,20 ,1000000,180 ,664000,125 ,멜로/로맨스,청소년관람불가,상업영화
96 ,어린 처제,최우성,(주)컨텐츠 빌리지,,(주)컨텐츠 빌리지,2018-05-04,개봉영화,장편,한국,20 ,1000000,180 ,664000,125 ,멜로/로맨스,청소년관람불가,상업영화
97 ,초대녀,최우성,(주)컨텐츠 빌리지,,(주)컨텐츠 빌리지,2018-06-05,개봉영화,장편,한국,21 ,996000,180 ,664000,125 ,멜로/로맨스,청소년관람불가,상업영화
98 ,형님 아내4(우주공주 춘향),이돌,이돌영화사,,이돌영화사,2018-04-25,개봉영화,장편,한국,1 ,995000,180 ,666000,126 ,,청소년관람불가,상업영화
99 ,화끈한 홈서비스,노승택,(주)제이에이와이이엔터테인먼트,,(주)제이에이와이이엔터테인먼트,2018-04-24,개봉영화,장편,한국,20 ,1000000,180 ,664000,125 ,멜로/로맨스,청소년관람불가,상업영화
100 ,과외의 추억,김다니엘,스마일컨텐츠,,스마일컨텐츠,2018-09-07,개봉영화,장편,한국,20 ,989000,179 ,676000,126 ,멜로/로맨스,청소년관람불가,상업영화
101 ,교회누나,에로핑,(주)엔트리미디어,,(주)엔트리미디어,2018-06-22,개봉영화,장편,한국,20 ,993000,179 ,664000,125 ,멜로/로맨스,청소년관람불가,상업영화
102 ,어린 엄마,계장혁,(주)에이블엔터테인먼트,,(주)에이블엔터테인먼트,2018-01-10,개봉영화,장편,한국,20 ,997000,179 ,662000,124 ,멜로/로맨스,청소년관람불가,상업영화
103 ,음란한 모델,노승택,(주)제이에이와이이엔터테인먼트,,(주)제이에이와이이엔터테인먼트,2018-07-19,개봉영화,장편,한국,20 ,991000,179 ,664000,125 ,멜로/로맨스,청소년관람불가,상업영화
104 ,첫경험,김태수,(주)컨텐츠 빌리지,,(주)컨텐츠 빌리지,2018-01-10,개봉영화,장편,한국,19 ,998000,179 ,662000,124 ,멜로/로맨스,청소년관람불가,상업영화
105 ,더티웨딩,국만중,참프로덕션,,(주)콘텐츠윙,2018-08-16,개봉영화,장편,한국,20 ,991000,178 ,676000,126 ,멜로/로맨스,청소년관람불가,상업영화
106 ,어린 처제 2,김태수,너바나 필름,,(주)컨텐츠 빌리지,2018-08-14,개봉영화,장편,한국,20 ,991000,178 ,669000,125 ,멜로/로맨스,청소년관람불가,상업영화
107 ,발칙한 동거,오재학,노바엔터테인먼트 ,,노바엔터테인먼트 ,2018-01-15,개봉영화,장편,한국,20 ,963000,173 ,634000,119 ,,청소년관람불가,상업영화
108 ,쾌락 도우미 무삭제,김재승,노바엔터테인먼트 ,,노바엔터테인먼트 ,2018-01-18,개봉영화,장편,한국,20 ,964000,173 ,634000,119 ,,청소년관람불가,상업영화
109 ,쾌락의 밀실 무삭제,김경훈,노바엔터테인먼트 ,,노바엔터테인먼트 ,2018-03-29,개봉영화,장편,한국,20 ,960000,173 ,634000,119 ,멜로/로맨스,청소년관람불가,상업영화
110 ,아들의 아내 무삭제,김재승,노바엔터테인먼트 ,,노바엔터테인먼트 ,2018-01-11,개봉영화,장편,한국,20 ,905000,171 ,634000,119 ,,청소년관람불가,상업영화
111 ,타짜의 목적 무삭제,김경훈,노바엔터테인먼트 ,,노바엔터테인먼트 ,2018-07-26,개봉영화,장편,한국,20 ,912000,163 ,636000,119 ,,청소년관람불가,상업영화
112 ,거짓말 애인-감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-02-21,개봉영화,장편,한국,22 ,785000,161 ,588000,118 ,멜로/로맨스,청소년관람불가,상업영화
113 ,성인용품 사용설명서,유승택,(주)로드하우스,,(주)로드하우스,2018-09-20,개봉영화,장편,한국,20 ,799000,159 ,574000,116 ,멜로/로맨스,청소년관람불가,상업영화
114 ,착한 이모의 은밀한 아르바이트,유승택,(주)로드하우스,,(주)로드하우스,2018-09-27,개봉영화,장편,한국,20 ,799000,159 ,574000,116 ,멜로/로맨스,청소년관람불가,상업영화
115 ,아내와 제자들: 네토라레,노현진,(주)마이애미미디어,,(주)마이애미미디어,2018-03-31,개봉영화,장편,한국,20 ,850000,155 ,634000,119 ,,청소년관람불가,상업영화
116 ,동창생의 목적 - 감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-01-17,개봉영화,장편,한국,21 ,825000,153 ,648000,121 ,멜로/로맨스,청소년관람불가,상업영화
117 ,불륜 정사의 맛-감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-02-14,개봉영화,장편,한국,20 ,793000,152 ,646000,120 ,멜로/로맨스,청소년관람불가,상업영화
118 ,정사 : 질투의 덫 - 감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-02-07,개봉영화,장편,한국,22 ,808000,147 ,648000,121 ,멜로/로맨스,청소년관람불가,상업영화
119 ,전망 좋은 섹스-감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-01-24,개봉영화,장편,한국,21 ,800000,146 ,648000,121 ,멜로/로맨스,청소년관람불가,상업영화
120 ,금지된 섹스,김종민,(주)케이알씨지,,(주)케이알씨지,2018-07-31,개봉영화,장편,한국,20 ,664000,139 ,608000,122 ,멜로/로맨스,청소년관람불가,상업영화
121 ,어린 여배우 무삭제판,이전,(주)케이알씨지,,(주)케이알씨지,2018-07-10,개봉영화,장편,한국,20 ,658000,139 ,609000,123 ,멜로/로맨스,청소년관람불가,상업영화
122 ,선녀는 몸으로 운다-감독판,이전,(주)케이알씨지,,(주)케이알씨지,2018-07-12,개봉영화,장편,한국,20 ,657000,138 ,608000,122 ,멜로/로맨스,청소년관람불가,상업영화
123 ,섹스-이웃집 여자-감독판,이전,(주)케이알씨지,,(주)케이알씨지,2018-07-31,개봉영화,장편,한국,20 ,657000,138 ,608000,122 ,멜로/로맨스,청소년관람불가,상업영화
124 ,인공지능 섹스돌,김종민,(주)케이알씨지,,(주)케이알씨지,2018-07-31,개봉영화,장편,한국,20 ,657000,138 ,615000,123 ,멜로/로맨스,청소년관람불가,상업영화
125 ,젊은 누나-감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-07-26,개봉영화,장편,한국,20 ,657000,138 ,608000,122 ,멜로/로맨스,청소년관람불가,상업영화
126 ,폰 섹스의 덫-감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-07-24,개봉영화,장편,한국,20 ,657000,138 ,608000,122 ,멜로/로맨스,청소년관람불가,상업영화
127 ,공즉시색 2,이리단,(주)영화사가을,,(주)영화사가을,2018-02-01,개봉영화,장편,한국,20 ,807000,135 ,378000,67 ,멜로/로맨스,청소년관람불가,상업영화
128 ,가래떡의 맛: 감독판,이전,(주)케이알씨지,,(주)케이알씨지,2018-03-20,개봉영화,장편,한국,20 ,630000,132 ,588000,118 ,멜로/로맨스,청소년관람불가,상업영화
129 ,거짓말 2018: 감독판,이전,(주)케이알씨지,,(주)케이알씨지,2018-03-27,개봉영화,장편,한국,19 ,629000,131 ,586000,117 ,멜로/로맨스,청소년관람불가,상업영화
130 ,불륜 동창회,조태호,(주)영화사가을,,(주)영화사가을,2018-03-02,개봉영화,장편,한국,20 ,772000,130 ,364000,65 ,멜로/로맨스,청소년관람불가,상업영화
131 ,엄마친구 4,채준우,(주)영화사 사계절,,(주)영화사 사계절,2018-01-04,개봉영화,장편,한국,20 ,774000,130 ,378000,67 ,멜로/로맨스,청소년관람불가,상업영화
132 ,친구누나2,이리단,(주)영화사가을,,(주)영화사가을,2018-02-08,개봉영화,장편,한국,20 ,773000,130 ,376000,66 ,멜로/로맨스,청소년관람불가,상업영화
133 ,내 친구 엄마,이리단,(주)영화사가을,,(주)영화사가을,2018-03-15,개봉영화,장편,한국,20 ,767000,129 ,369000,65 ,멜로/로맨스,청소년관람불가,상업영화
134 ,룸싸롱 여대생들,조태호,(주)영화사가을,,(주)영화사가을,2018-03-29,개봉영화,장편,한국,20 ,765000,129 ,362000,64 ,멜로/로맨스,청소년관람불가,상업영화
135 ,미용실 : 특별한 서비스 2,,(주)영화사가을,,(주)영화사가을,2018-02-13,개봉영화,장편,한국,20 ,765000,129 ,362000,64 ,멜로/로맨스,청소년관람불가,상업영화
136 ,밀애 : 친구엄마,김부곤,(주)영화사가을,,(주)영화사가을,2018-02-27,개봉영화,장편,한국,20 ,770000,129 ,369000,65 ,멜로/로맨스,청소년관람불가,상업영화
137 ,바람난 여자들2,조태호,(주)영화사가을,,(주)영화사가을,2018-04-24,개봉영화,장편,한국,20 ,765000,129 ,362000,64 ,멜로/로맨스,청소년관람불가,상업영화
138 ,비뇨기과 여의사들,조태호,(주)영화사가을,,(주)영화사가을,2018-02-22,개봉영화,장편,한국,20 ,770000,129 ,369000,65 ,멜로/로맨스,청소년관람불가,상업영화
139 ,사촌 누나,조태호,(주)영화사가을,,(주)영화사가을,2018-03-08,개봉영화,장편,한국,20 ,765000,129 ,362000,64 ,멜로/로맨스,청소년관람불가,상업영화
140 ,새오빠2,조태호,(주)영화사가을,,(주)영화사가을,2018-04-05,개봉영화,장편,한국,20 ,765000,129 ,362000,64 ,멜로/로맨스,청소년관람불가,상업영화
141 ,애인 : 아내의 남자,임현태,(주)영화사가을,,(주)영화사가을,2018-06-21,개봉영화,장편,한국,20 ,763000,129 ,362000,64 ,멜로/로맨스,청소년관람불가,상업영화
142 ,엄마의 연애,임현태,(주)영화사가을,,(주)영화사가을,2018-05-29,개봉영화,장편,한국,20 ,768000,129 ,362000,64 ,멜로/로맨스,청소년관람불가,상업영화
143 ,여자 하숙집2,이리단,(주)영화사가을,,(주)영화사가을,2018-03-22,개봉영화,장편,한국,20 ,765000,129 ,362000,64 ,멜로/로맨스,청소년관람불가,상업영화
144 ,정사 : 착한 며느리들,김부곤,(주)영화사가을,,(주)영화사가을,2018-01-25,개봉영화,장편,한국,20 ,768000,129 ,378000,67 ,멜로/로맨스,청소년관람불가,상업영화
145 ,정사 : 친구의 엄마 2,김부곤,(주)영화사가을,,(주)영화사가을,2018-04-19,개봉영화,장편,한국,20 ,765000,129 ,362000,64 ,멜로/로맨스,청소년관람불가,상업영화
146 ,정사 : 캠퍼스 커플,임현태,(주)영화사가을,,(주)영화사가을,2018-06-22,개봉영화,장편,한국,20 ,768000,129 ,362000,64 ,멜로/로맨스,청소년관람불가,상업영화
147 ,착한 엄마친구 2,김부곤,(주)영화사가을,,(주)영화사가을,2018-05-03,개봉영화,장편,한국,20 ,760000,129 ,362000,64 ,멜로/로맨스,청소년관람불가,상업영화
148 ,밀애 : 부부카풀,임현태,(주)영화사가을,,(주)영화사가을,2018-06-28,개봉영화,장편,한국,20 ,758000,128 ,362000,64 ,멜로/로맨스,청소년관람불가,상업영화
149 ,아내의 애인 2,조태호,(주)영화사가을,,(주)영화사가을,2018-06-14,개봉영화,장편,한국,20 ,758000,128 ,362000,64 ,멜로/로맨스,청소년관람불가,상업영화
150 ,아내의 엄마,임현태,(주)영화사가을,,(주)영화사가을,2018-05-10,개봉영화,장편,한국,20 ,758000,128 ,362000,64 ,멜로/로맨스,청소년관람불가,상업영화
151 ,정사 : 아내의 친구,조태호,(주)영화사가을,,(주)영화사가을,2018-05-17,개봉영화,장편,한국,20 ,758000,128 ,362000,64 ,멜로/로맨스,청소년관람불가,상업영화
152 ,정사 : 어린 새엄마,임현태,(주)영화사가을,,(주)영화사가을,2018-05-31,개봉영화,장편,한국,20 ,758000,128 ,362000,64 ,멜로/로맨스,청소년관람불가,상업영화
153 ,착한 형수 3,이리단,(주)영화사가을,,(주)영화사가을,2018-06-07,개봉영화,장편,한국,20 ,758000,128 ,362000,64 ,멜로/로맨스,청소년관람불가,상업영화
154 ,친구엄마들,조태호,(주)영화사가을,,(주)영화사가을,2018-07-05,개봉영화,장편,한국,20 ,758000,128 ,362000,64 ,멜로/로맨스,청소년관람불가,상업영화
155 ,하숙집 여자들,조태호,(주)영화사가을,,(주)영화사가을,2018-06-26,개봉영화,장편,한국,20 ,763000,128 ,369000,65 ,멜로/로맨스,청소년관람불가,상업영화
156 ,여자친구,김대성,(주)영화사히트,,(주)영화사히트,2018-02-27,개봉영화,장편,한국,20 ,720000,123 ,378000,67 ,멜로/로맨스,청소년관람불가,상업영화
157 ,이모의 유혹,김경택,스마일컨텐츠,,스마일컨텐츠,2018-03-02,개봉영화,장편,한국,18 ,718000,123 ,376000,66 ,멜로/로맨스,청소년관람불가,상업영화
158 ,젊은 장모,김경훈,스마일컨텐츠,,스마일컨텐츠,2018-02-02,개봉영화,장편,한국,19 ,721000,123 ,376000,66 ,멜로/로맨스,청소년관람불가,상업영화
159 ,옆집누나들,김경택,스마일컨텐츠,,스마일컨텐츠,2018-06-21,개봉영화,장편,한국,20 ,713000,122 ,376000,66 ,멜로/로맨스,청소년관람불가,상업영화
160 ,가슴큰누나들,김경택,스마일컨텐츠,,스마일컨텐츠,2018-06-12,개봉영화,장편,한국,19 ,708000,121 ,376000,66 ,멜로/로맨스,청소년관람불가,상업영화
161 ,감금의 시간 2 무삭제,김대성,(주)영화사히트,,(주)영화사히트,2018-01-17,개봉영화,장편,한국,20 ,701000,120 ,371000,66 ,코미디,청소년관람불가,상업영화
162 ,내 아내의 언니 2,김부곤,(주)영화사가을,,(주)영화사가을,2018-01-11,개봉영화,장편,한국,20 ,714000,120 ,378000,67 ,멜로/로맨스,청소년관람불가,상업영화
163 ,매니저,백마,유로 프로덕션,,유로 프로덕션,2018-04-10,개봉영화,장편,한국,20 ,699000,120 ,371000,66 ,멜로/로맨스,청소년관람불가,상업영화
164 ,미투 숨겨진 진실,마현진,(주)에스와이미디어,,(주)에스와이미디어,2018-06-29,개봉영화,장편,한국,20 ,703000,120 ,369000,65 ,기타,청소년관람불가,상업영화
165 ,장모학개론,김다니엘,스마일컨텐츠,,스마일컨텐츠,2018-05-22,개봉영화,장편,한국,18 ,702000,120 ,376000,66 ,멜로/로맨스,청소년관람불가,상업영화
166 ,착한 여동생,김다니엘,스마일컨텐츠,,스마일컨텐츠,2018-09-21,개봉영화,장편,한국,20 ,694000,119 ,376000,66 ,멜로/로맨스,청소년관람불가,상업영화
167 ,정사 : 착한 숙모,김부곤,(주)영화사가을,,(주)영화사가을,2018-09-21,개봉영화,장편,한국,20 ,557000,115 ,161000,51 ,멜로/로맨스,청소년관람불가,상업영화
168 ,엄마친구들 2,임현태,(주)영화사가을,,(주)영화사가을,2018-09-13,개봉영화,장편,한국,20 ,531000,102 ,135000,38 ,멜로/로맨스,청소년관람불가,상업영화
169 ,룸싸롱 맛있는 서비스,조태호,(주)영화사가을,,(주)영화사가을,2018-08-09,개봉영화,장편,한국,20 ,515000,91 ,111000,26 ,멜로/로맨스,청소년관람불가,상업영화
170 ,엄마친구 5,명석환,(주)영화사 사계절,,(주)영화사 사계절,2018-08-24,개봉영화,장편,한국,20 ,625000,77 ,69000,5 ,멜로/로맨스,청소년관람불가,상업영화
171 ,정사  : 자매의 유혹,김부곤,(주)영화사가을,,(주)영화사가을,2018-08-16,개봉영화,장편,한국,20 ,473000,73 ,77000,9 ,멜로/로맨스,청소년관람불가,상업영화
172 ,여교사 : 제자와의 사랑,최민,(주)영화사가을,,(주)영화사가을,2018-08-02,개봉영화,장편,한국,20 ,471000,72 ,75000,8 ,멜로/로맨스,청소년관람불가,상업영화
173 ,내 학생의 엄마 3,유해종,(주)영화사가을,,(주)영화사가을,2018-09-07,개봉영화,장편,한국,20 ,467000,70 ,76000,6 ,멜로/로맨스,청소년관람불가,상업영화
174 ,스와핑 : 친구의 아내 2,유해종,(주)영화사가을,,(주)영화사가을,2018-07-19,개봉영화,장편,한국,20 ,470000,69 ,74000,5 ,멜로/로맨스,청소년관람불가,상업영화
175 ,신혼부부의 성생활,조태호,(주)영화사가을,,(주)영화사가을,2018-07-12,개봉영화,장편,한국,20 ,470000,69 ,74000,5 ,멜로/로맨스,청소년관람불가,상업영화
176 ,엄마의 유혹,유해종,(주)영화사가을,,(주)영화사가을,2018-07-31,개봉영화,장편,한국,20 ,465000,69 ,69000,5 ,멜로/로맨스,청소년관람불가,상업영화
177 ,여친엄마 2,최민,(주)영화사가을,,(주)영화사가을,2018-08-30,개봉영화,장편,한국,19 ,465000,69 ,69000,5 ,멜로/로맨스,청소년관람불가,상업영화
178 ,연애 : 엄마친구,유해종,(주)영화사가을,,(주)영화사가을,2018-07-10,개봉영화,장편,한국,20 ,470000,69 ,76000,6 ,멜로/로맨스,청소년관람불가,상업영화
179 ,젊은 엄마 친구,유해종,(주)영화사가을,,(주)영화사가을,2018-09-28,개봉영화,장편,한국,20 ,465000,69 ,69000,5 ,멜로/로맨스,청소년관람불가,상업영화
180 ,정사 : 처제의 사랑,최민,(주)영화사가을,,(주)영화사가을,2018-07-26,개봉영화,장편,한국,20 ,465000,69 ,69000,5 ,멜로/로맨스,청소년관람불가,상업영화
181 ,리얼라이저,백마,유로 프로덕션,,유로 프로덕션,2018-09-03,개봉영화,장편,한국,1 ,300000,60 ,300000,60 ,성인물(에로),청소년관람불가,상업영화
182 ,화끈한 홈서비스 무삭제판,노승택,(주)제이에이와이이엔터테인먼트,,(주)제이에이와이이엔터테인먼트,2018-08-17,개봉영화,장편,한국,1 ,300000,60 ,300000,60 ,멜로/로맨스,청소년관람불가,상업영화
183 ,두처제2-무삭제,박주영,스마일컨텐츠,,스마일컨텐츠,2018-01-19,개봉영화,장편,한국,1 ,50000,10 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
184 ,엄마의 일탈 - 아들의 친구를 사랑하다,윤채아,에이원 미디어,,에이원 미디어,2018-01-10,개봉영화,장편,한국,1 ,50000,10 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
185 ,음란한 처제,윤채아,에이원 미디어,,에이원 미디어,2018-01-10,개봉영화,장편,한국,1 ,50000,10 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
186 ,장모의 유혹 - 아내가 집에 없던 날,윤채아,에이원 미디어,,에이원 미디어,2018-01-10,개봉영화,장편,한국,1 ,50000,10 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
187 ,섹스의 목적 - 감독판,이민,(주)케이알씨지,,(주)케이알씨지,2017-12-14,개봉영화,장편,한국,23 ,27000,9 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
188 ,정사2: 친구 새엄마-무삭제판,이동현,(주)케이알씨지,,(주)케이알씨지,2018-01-10,개봉영화,장편,한국,5 ,11000,5 ,2000,1 ,멜로/로맨스,청소년관람불가,상업영화
189 ,완벽한 섹스의 맛-감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-01-10,개봉영화,장편,한국,3 ,9000,4 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
190 ,정사 : 바람난 유부녀들 무삭제판,박범수,(주)케이알씨지,,(주)케이알씨지,2018-01-15,개봉영화,장편,한국,3 ,6000,3 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
191 ,그녀의 정사,이재남,(주)케이알씨지,,(주)케이알씨지,2018-04-24,개봉영화,장편,한국,2 ,7000,2 ,2000,1 ,멜로/로맨스,청소년관람불가,상업영화
192 ,어린장모,최은정,스마일컨텐츠,,스마일컨텐츠,2018-05-17,개봉영화,장편,한국,1 ,10000,2 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
193 ,연변 아가씨의 맛섹사 - 감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-01-17,개봉영화,장편,한국,2 ,3000,2 ,2000,1 ,멜로/로맨스,청소년관람불가,상업영화
194 ,옆집누나들-무삭제,김경택,스마일컨텐츠,,스마일컨텐츠,2018-08-10,개봉영화,장편,한국,1 ,10000,2 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
195 ,가슴큰누나들-무삭제,김경택,스마일컨텐츠,,스마일컨텐츠,2018-07-20,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
196 ,감금,최석원,(주)레드언더미디어,,(주)레드언더미디어,2018-05-17,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,,청소년관람불가,상업영화
197 ,개인교수 : 여친 만족 시키기,이상민,(주)영화사가을,,(주)영화사가을,2018-08-14,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
198 ,교환섹스 : 동생의 여자,이상민,(주)영화사가을,,(주)영화사가을,2018-02-06,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
199 ,그녀의 색맛: 감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-04-24,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,멜로/로맨스,청소년관람불가,상업영화
200 ,그녀의 색맛: 무삭제판,이민,(주)케이알씨지,,(주)케이알씨지,2018-08-23,개봉영화,장편,한국,1 ,1000,1 ,1000,1 ,멜로/로맨스,청소년관람불가,상업영화
201 ,그녀의 정사 무삭제 감독판,이재남,(주)케이알씨지,,(주)케이알씨지,2018-05-22,개봉영화,장편,한국,1 ,1000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
202 ,내 사촌 여동생들,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-08-30,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
203 ,내 아내의 언니 2 무삭제,김부곤,(주)영화사가을,,(주)영화사가을,2018-04-17,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
204 ,내 아내의 초대남들: 네토라레_무삭제판,노현진,(주)마이애미미디어,,(주)마이애미미디어,2018-04-20,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,,청소년관람불가,상업영화
205 ,내 아내의 친구-무삭제판,엠씨짱,(주)케이알씨지,,(주)케이알씨지,2018-02-14,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,멜로/로맨스,청소년관람불가,상업영화
